country, order_value_EUR , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Sweden,"17,524.02",14122.61,2/12/2020,Books,Goldner-Dibbert,Maxie Marrow,Madelon Bront,Mobile,70-0511466
Finland,"116,563.40",92807.78,9/26/2019,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,Mobile,28-6585323
Portugal,"296,465.56",257480.34,7/11/2019,Clothing,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,PC,58-7703341
Portugal,"74,532.02",59752.32,4/2/2020,Beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,PC,14-6700183
Spain,"178,763.42",146621.76,12/22/2019,Games,Johns and Sons,Emalia Dinse,Bertha Walbrook,Tablet,15-8765160
Spain,"84,900.24",73701.90,7/14/2020,Clothing,"Farrell, Swaniawski and Crist",Emalia Dinse,Perri Aldersley,PC,60-6998932
Portugal,"71,620.08",62245.01,2/5/2019,Books,Schoen-Keeling,Celine Tumasian,Smitty Culverhouse,PC,69-6259390
UK,"156,585.22",126599.15,8/30/2020,Accessories,"Hermiston, Simonis and Wisoky",Jessamine Apark,Winny Agnolo,PC,64-5761908
Portugal,"78,461.13",63537.82,5/10/2020,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Mobile,91-4126746
France,"64,827.80",56043.63,1/20/2019,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,PC,62-3312495
Sweden,"142,664.34",120808.16,5/4/2019,Appliances,"Swaniawski, Runolfsson and Green",Maxie Marrow,Madelon Bront,PC,85-6625096
UK,"66,673.19",52811.83,2/23/2019,Smartphones,Gislason-Stanton,Jessamine Apark,Winny Agnolo,PC,25-6368157
Portugal,"136,915.61",114790.05,1/4/2020,Outdoors,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Tablet,15-3943365
UK,"164,971.70",132686.74,7/20/2019,Accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,PC,32-3534634
UK,"149,486.27",118662.20,8/6/2019,Beauty,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,02-3972649
Sweden,"54,078.92",46102.28,11/8/2020,Books,Tillman and Sons,Maxie Marrow,Anita Woakes,PC,08-7576451
France,"107,499.78",91364.06,2/26/2019,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,68-3583935
UK,"29,493.79",24285.19,11/22/2019,Games,Tillman and Sons,Jessamine Apark,Jay Morefield,PC,53-7769693
Portugal,"147,656.52",124193.90,6/5/2019,Smartphones,Goldner-Dibbert,Celine Tumasian,Corene Shirer,PC,85-4732103
Portugal,"156,839.31",134709.28,5/11/2020,Smartphones,Stamm Inc,Celine Tumasian,Corene Shirer,PC,27-9800293
Spain,"81,412.10",64747.04,11/6/2019,Electronics,Johns and Sons,Emalia Dinse,Bertha Walbrook,PC,67-3929836
Sweden,"56,717.53",45101.78,3/10/2019,Clothing,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,13-0526029
Netherlands,"17,028.19",14102.75,2/7/2020,Clothing,Johns and Sons,Denice Amberg,Nero Harbisher,PC,38-5910704
Finland,"236,462.30",205674.91,12/23/2020,Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,PC,41-6407014
Portugal,"172,989.17",142975.55,6/10/2020,Beauty,Romaguera-Dietrich,Celine Tumasian,Hortense Gerring,PC,22-6745595
Sweden,"48,179.57",41405.52,8/14/2020,Books,Franecki-White,Maxie Marrow,Anita Woakes,PC,96-3022721
Portugal,"121,318.55",102890.26,3/10/2020,Electronics,"Jacobson, Marvin and Brown",Celine Tumasian,Aurelie Wren,Tablet,48-0713329
Belgium,"93,153.98",79702.55,4/3/2020,Appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,Mobile,50-0942872
Bulgaria,"98,289.32",84116.00,2/15/2019,Appliances,"Murray, Reichel and Nolan",Charil Alpe,Shermy McGready,PC,78-2307905
Luxembourg,"108,920.56",94270.74,7/8/2019,Books,"Swaniawski, Runolfsson and Green",Ilsa Kob,Jocelyn Laurentino,PC,63-0019978
Portugal,"37,273.84",31559.76,1/20/2020,Games,Considine-Fisher,Celine Tumasian,Aurelie Wren,Tablet,26-9948924
Spain,"221,745.05",190767.27,6/25/2019,Appliances,Kirlin and Sons,Emalia Dinse,Bertha Walbrook,Mobile,72-7630507
Netherlands,"54,566.99",43757.27,3/23/2020,Smartphones,Friesen-Rath,Denice Amberg,Nero Harbisher,PC,36-3410564
Portugal,"111,639.29",97204.33,10/28/2019,Smartphones,"Keeling, Monahan and Pollich",Celine Tumasian,Hortense Gerring,PC,82-4653018
Sweden,"74,273.54",61981.27,3/28/2020,Beauty,"Swaniawski, Runolfsson and Green",Maxie Marrow,Caro Morfield,PC,29-1001593
